id,price,size,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_days_in_year,number_of_rooms,neighbourhood,room_type
2110953,130,464,28,0,0,1,332,3,Friedrichshain-Kreuzberg,Entire home_apt
2111503,60,635,2,0,0,1,0,10,Mitte,Entire home_apt
2111678,55,640,1,75,1.27,2,76,10,Pankow,Entire home_apt
2111828,70,393,1,0,0,1,0,2,Pankow,Private room
2114495,20,654,5,3,0.12,1,0,2,Mitte,Private room
2118068,76,160,4,140,2.66,3,304,2,Mitte,Entire home_apt
2118944,147,576,3,1,0.02,1,0,6,Charlottenburg-Wilm.,Entire home_apt
2121535,40,367,60,45,0.76,1,98,1,Charlottenburg-Wilm.,Entire home_apt
2121972,30,306,4,65,1.39,1,0,1,Neukolln,Private room
2125274,25,692,14,3,0.05,1,0,7,Tempelhof - Schoneberg,Entire home_apt
2128928,50,540,5,4,0.07,1,0,8,Pankow,Entire home_apt
2129714,50,457,4,4,0.07,1,0,1,Mitte,Entire home_apt
2131667,70,746,3,96,1.64,5,282,4,Friedrichshain-Kreuzberg,Entire home_apt
2133220,150,647,6,4,0.07,1,0,4,Friedrichshain-Kreuzberg,Entire home_apt
2133942,69,271,2,139,2.44,2,331,9,Mitte,Entire home_apt
2134078,35,709,22,7,0.26,1,73,4,Treptow - Kopenick,Private room
2137277,89,651,2,171,3.12,3,107,3,Friedrichshain-Kreuzberg,Entire home_apt
2138961,50,154,1,52,1.56,1,65,2,Friedrichshain-Kreuzberg,Private room
2140695,65,642,1,56,1,1,68,8,Pankow,Entire home_apt
2146646,80,723,14,0,0,1,0,2,Reinickendorf,Entire home_apt
2146829,75,542,5,9,0.16,1,0,2,Pankow,Entire home_apt
2147642,30,566,7,103,1.9,1,0,3,Lichtenberg,Entire home_apt
2147777,49,661,2,83,1.93,1,303,3,Mitte,Entire home_apt
2149001,59,719,5,0,0,1,0,2,Pankow,Private room
2153393,84,182,3,5,0.12,1,0,10,Friedrichshain-Kreuzberg,Entire home_apt
2154488,35,491,2,73,1.36,2,121,2,Tempelhof - Schoneberg,Private room
2155303,65,247,12,5,0.14,1,179,8,Neukolln,Entire home_apt
2155864,55,61,1,41,0.7,1,356,2,Charlottenburg-Wilm.,Private room
2156839,100,747,3,7,0.13,1,0,3,Neukolln,Entire home_apt
2157235,25,408,30,9,0.22,1,252,3,Mitte,Entire home_apt
2157359,35,476,180,4,0.08,1,161,4,Friedrichshain-Kreuzberg,Entire home_apt
2157582,18,536,7,0,0,1,0,3,Friedrichshain-Kreuzberg,Private room
2158546,80,659,10,1,0.37,2,74,1,Friedrichshain-Kreuzberg,Entire home_apt
2161434,8,82,15,1,0.02,1,0,1,Friedrichshain-Kreuzberg,Private room
2162565,195,883,3,156,2.7,3,291,1,Mitte,Entire home_apt
2165255,65,380,2,109,1.88,2,54,2,Neukolln,Entire home_apt
2168295,36,705,3,26,0.47,7,0,9,Mitte,Private room
2170119,35,461,1,2,0.05,1,0,2,Tempelhof - Schoneberg,Private room
2172749,50,599,60,11,0.27,1,93,7,Pankow,Entire home_apt
2172841,110,190,3,5,0.1,2,0,2,Friedrichshain-Kreuzberg,Entire home_apt
2173438,65,253,3,0,0,2,0,7,Neukolln,Entire home_apt
2174040,50,737,4,0,0,1,0,1,Pankow,Entire home_apt
2175651,25,176,1,0,0,1,0,2,Mitte,Private room
2175723,22,30,30,4,0.13,1,0,6,Mitte,Entire home_apt
2179273,21,614,4,2,0.05,1,0,3,Neukolln,Private room
2180203,69,399,3,99,1.79,1,304,10,Friedrichshain-Kreuzberg,Entire home_apt
2185671,45,313,17,0,0,1,0,2,Neukolln,Entire home_apt
2190792,60,728,3,33,0.72,7,0,2,Mitte,Private room
2191449,64,608,2,77,1.38,6,266,1,Mitte,Entire home_apt
2191606,110,314,5,0,0,2,288,2,Pankow,Entire home_apt
2191648,49,227,14,14,0.25,2,249,8,Pankow,Entire home_apt
2195302,50,245,4,2,0.06,1,15,4,Tempelhof - Schoneberg,Entire home_apt
2195378,110,262,3,3,0.05,1,0,5,Mitte,Entire home_apt
2197375,40,590,10,0,0,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2197501,35,108,7,11,0.27,1,217,3,Tempelhof - Schoneberg,Private room
2197560,32,647,30,0,0,9,28,8,Lichtenberg,Entire home_apt
2199290,35,641,60,4,0.15,1,277,3,Pankow,Entire home_apt
2199410,42,282,2,2,0.04,1,0,3,Mitte,Entire home_apt
2201228,59,497,3,67,1.23,2,331,3,Mitte,Entire home_apt
2202083,80,112,2,3,0.05,1,0,5,Mitte,Private room
2203300,140,207,4,36,0.65,1,70,3,Friedrichshain-Kreuzberg,Entire home_apt
2205845,48,505,6,8,0.14,2,0,1,Friedrichshain-Kreuzberg,Entire home_apt
2209282,70,521,5,0,0,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
2210397,60,460,1,52,1.38,1,340,3,Tempelhof - Schoneberg,Private room
2219064,49,595,2,2,0.06,1,0,3,Pankow,Entire home_apt
2220054,38,670,5,17,0.31,1,279,9,Tempelhof - Schoneberg,Private room
2220253,40,548,30,6,0.11,1,265,1,Charlottenburg-Wilm.,Entire home_apt
2224714,12,211,2,120,6.62,1,6,9,Mitte,Private room
2227536,80,642,3,16,2.5,1,83,6,Neukolln,Entire home_apt
2230039,27,333,1,2,0.05,1,0,6,Pankow,Private room
2233347,29,214,7,56,1.06,1,23,1,Mitte,Private room
2237527,199,284,3,120,2.11,1,218,1,Pankow,Entire home_apt
2237985,45,586,90,2,0.05,1,0,2,Charlottenburg-Wilm.,Entire home_apt
2241958,120,610,5,2,0.06,1,22,11,Mitte,Entire home_apt
2246128,55,184,3,7,0.33,2,146,1,Charlottenburg-Wilm.,Entire home_apt
2246464,65,641,2,12,0.31,1,234,3,Neukolln,Private room
2247527,43,560,5,10,0.19,1,0,2,Tempelhof - Schoneberg,Entire home_apt
2252438,21,315,1,0,0,1,0,6,Friedrichshain-Kreuzberg,Private room
2253062,34,206,1,57,1.03,2,74,2,Pankow,Private room
2253063,50,581,2,3,0.1,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
2254020,50,554,1,65,1.3,1,38,7,Friedrichshain-Kreuzberg,Private room
2255103,153,554,5,59,1.07,1,12,6,Mitte,Entire home_apt
2255195,41,453,4,22,0.53,1,7,5,Treptow - Kopenick,Private room
2258687,32,315,1,36,1.34,1,0,6,Friedrichshain-Kreuzberg,Private room
2259160,40,707,2,13,0.23,1,230,4,Mitte,Entire home_apt
2260217,40,289,1,3,0.08,1,0,8,Neukolln,Private room
2265143,27,97,90,13,0.23,1,99,5,Friedrichshain-Kreuzberg,Entire home_apt
2266633,25,98,5,150,2.61,2,17,3,Friedrichshain-Kreuzberg,Shared room
2268216,54,320,5,30,0.57,1,202,9,Charlottenburg-Wilm.,Entire home_apt
2270894,20,359,10,8,0.2,2,118,1,Pankow,Entire home_apt
2271256,190,589,3,63,1.12,5,322,7,Mitte,Entire home_apt
2272792,73,674,60,10,0.18,1,364,2,Pankow,Entire home_apt
2277470,31,607,2,6,0.19,1,0,2,Tempelhof - Schoneberg,Entire home_apt
2281088,75,510,3,93,1.93,1,52,7,Friedrichshain-Kreuzberg,Private room
2281627,40,565,2,3,0.08,2,0,5,Mitte,Private room
2281634,48,181,4,125,2.22,2,47,6,Pankow,Private room
2282413,100,124,1,2,0.06,1,0,7,Friedrichshain-Kreuzberg,Entire home_apt
2284138,30,122,3,2,0.05,2,0,4,Friedrichshain-Kreuzberg,Private room
2290848,80,362,4,13,0.25,1,0,9,Mitte,Entire home_apt
2290941,52,249,2,5,0.09,1,241,4,Charlottenburg-Wilm.,Entire home_apt
2291619,80,679,7,11,0.25,3,264,8,Mitte,Entire home_apt
2292851,45,504,2,58,1.05,1,296,5,Mitte,Private room
2293528,24,554,1,3,0.08,1,0,6,Neukolln,Private room
2294972,34,680,2,7,0.12,1,0,1,Friedrichshain-Kreuzberg,Private room
2295827,40,209,3,6,0.14,1,0,2,Neukolln,Private room
2296098,80,186,1,1,0.02,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
2306464,69,596,182,4,0.1,1,0,10,Mitte,Entire home_apt
2307105,72,705,5,93,1.68,1,13,2,Neukolln,Entire home_apt
2314128,80,112,3,9,2.43,1,62,8,Pankow,Entire home_apt
2316863,34,210,10,2,0.04,1,0,1,Friedrichshain-Kreuzberg,Private room
2318810,40,436,7,21,0.37,1,0,2,Pankow,Entire home_apt
2321725,80,335,5,6,0.11,1,0,4,Friedrichshain-Kreuzberg,Entire home_apt
2323744,52,68,3,139,2.59,1,181,2,Friedrichshain-Kreuzberg,Entire home_apt
2324202,60,482,2,66,1.23,1,0,2,Neukolln,Entire home_apt
2328948,69,647,4,172,3.01,1,328,2,Mitte,Entire home_apt
2329696,34,266,2,22,0.38,1,308,9,Mitte,Private room
2330225,45,638,2,41,1.34,1,361,1,Pankow,Shared room
2334507,35,254,2,6,0.15,1,0,2,Steglitz - Zehlendorf,Entire home_apt
2338603,43,351,150,5,0.12,2,128,7,Pankow,Entire home_apt
2341206,125,225,7,7,0.14,1,0,2,Pankow,Entire home_apt
2341249,75,182,3,8,0.16,1,20,10,Neukolln,Entire home_apt
2341476,75,218,3,39,0.78,1,321,5,Neukolln,Entire home_apt
2341754,54,413,60,8,0.19,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2345290,40,422,1,5,0.09,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2345913,70,433,4,21,0.39,1,12,5,Friedrichshain-Kreuzberg,Entire home_apt
2348195,30,153,4,4,0.08,1,0,8,Friedrichshain-Kreuzberg,Private room
2348212,20,638,3,1,0.02,1,0,2,Lichtenberg,Private room
2348602,250,851,30,80,1.62,2,319,1,Charlottenburg-Wilm.,Entire home_apt
2349109,140,462,3,94,1.73,5,336,1,Mitte,Entire home_apt
2351918,35,640,1,7,0.22,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2353160,79,707,3,85,1.69,1,22,10,Friedrichshain-Kreuzberg,Entire home_apt
2354413,84,777,7,2,0.05,1,0,1,Charlottenburg-Wilm.,Entire home_apt
2358997,17,204,5,21,0.38,2,164,4,Pankow,Private room
2363643,80,461,5,78,1.37,1,31,2,Pankow,Private room
2364026,40,329,90,11,0.21,1,309,8,Mitte,Entire home_apt
2364544,50,513,7,0,0,1,0,1,Friedrichshain-Kreuzberg,Entire home_apt
2365027,50,325,1,13,0.24,1,14,4,Neukolln,Private room
2366382,41,434,3,12,0.22,2,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2369744,45,519,2,17,0.33,2,0,8,Treptow - Kopenick,Entire home_apt
2370698,60,688,4,12,0.21,1,0,1,Friedrichshain-Kreuzberg,Private room
2371126,44,660,2,145,2.79,1,8,7,Neukolln,Private room
2375775,40,401,34,2,0.04,1,0,2,Friedrichshain-Kreuzberg,Entire home_apt
2377008,63,462,5,124,2.2,2,10,3,Mitte,Private room
2377736,59,508,2,352,6.28,2,107,6,Mitte,Private room
2377893,50,182,1,15,0.5,1,0,8,Treptow - Kopenick,Entire home_apt
2378667,50,296,1,0,0,1,0,3,Neukolln,Entire home_apt
2379229,25,470,2,175,3.17,1,332,3,Charlottenburg-Wilm.,Private room
2380897,43,122,95,43,0.85,1,276,1,Charlottenburg-Wilm.,Entire home_apt
2382002,30,714,2,19,0.49,1,0,4,Mitte,Private room
2382613,9,229,54,5,0.09,1,0,8,Steglitz - Zehlendorf,Private room
2385565,30,353,7,2,0.08,2,0,7,Friedrichshain-Kreuzberg,Private room
2385754,25,469,3,7,0.26,1,0,6,Tempelhof - Schoneberg,Private room
2390253,35,267,3,168,2.96,2,47,3,Charlottenburg-Wilm.,Entire home_apt
2394480,55,368,30,29,0.52,1,123,1,Neukolln,Entire home_apt
2394841,55,110,3,188,3.39,2,24,2,Mitte,Private room
2394897,98,536,2,279,4.95,1,273,9,Mitte,Entire home_apt
2395908,125,595,2,6,0.11,1,106,9,Pankow,Entire home_apt
2396076,48,137,2,43,0.8,1,0,9,Friedrichshain-Kreuzberg,Private room
2396312,115,747,3,76,1.46,1,145,2,Mitte,Entire home_apt
2397636,24,185,3,23,2.12,1,8,1,Friedrichshain-Kreuzberg,Private room
2397684,35,437,2,7,0.13,1,0,5,Neukolln,Private room
2398866,30,82,5,3,0.08,1,0,4,Friedrichshain-Kreuzberg,Private room
2398889,57,284,60,79,1.39,1,235,4,Pankow,Entire home_apt
2398968,100,236,1,32,0.58,1,365,9,Tempelhof - Schoneberg,Private room
2399412,50,63,2,9,0.29,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2403852,70,109,60,0,0,3,189,6,Charlottenburg-Wilm.,Entire home_apt
2406047,180,277,6,0,0,1,173,7,Pankow,Entire home_apt
2412554,35,489,3,0,0,1,0,9,Friedrichshain-Kreuzberg,Private room
2417080,40,43,3,9,0.64,2,0,6,Friedrichshain-Kreuzberg,Private room
2418364,30,420,7,3,0.05,1,0,4,Friedrichshain-Kreuzberg,Private room
2418617,49,498,5,40,0.71,1,220,3,Neukolln,Entire home_apt
2419706,35,271,1,274,5.05,1,328,4,Reinickendorf,Private room
2421223,75,319,3,161,2.34,1,27,4,Mitte,Entire home_apt
2421445,89,277,4,50,0.91,1,311,8,Tempelhof - Schoneberg,Entire home_apt
2422564,38,375,30,64,1.14,1,252,3,Pankow,Private room
2425068,48,484,1,5,0.11,1,0,1,Neukolln,Entire home_apt
2427223,23,499,4,1,0.03,1,0,4,Pankow,Private room
2427917,20,260,1,6,0.2,1,0,1,Lichtenberg,Private room
2428020,50,356,3,52,0.93,1,29,1,Mitte,Private room
2428848,45,560,1,1,0.05,1,0,2,Friedrichshain-Kreuzberg,Private room
2433256,28,222,1,1,0.03,1,0,9,Neukolln,Private room
2443247,80,125,10,4,0.08,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2444984,50,188,3,6,0.15,1,0,9,Friedrichshain-Kreuzberg,Private room
2445048,70,529,60,6,0.12,3,190,2,Charlottenburg-Wilm.,Entire home_apt
2445234,60,205,3,3,0.13,1,320,5,Friedrichshain-Kreuzberg,Entire home_apt
2446164,49,592,5,3,0.08,1,0,5,Friedrichshain-Kreuzberg,Entire home_apt
2446432,39,680,91,3,0.06,2,362,7,Treptow - Kopenick,Entire home_apt
2447563,55,716,3,15,0.29,2,98,1,Friedrichshain-Kreuzberg,Private room
2449808,51,522,3,72,1.46,2,342,3,Mitte,Private room
2450125,150,183,5,98,1.79,1,98,8,Pankow,Entire home_apt
2451134,31,272,2,105,2.67,1,102,4,Friedrichshain-Kreuzberg,Private room
2456055,65,333,4,28,0.96,1,57,2,Friedrichshain-Kreuzberg,Entire home_apt
2458229,250,331,6,12,0.22,1,262,10,Charlottenburg-Wilm.,Entire home_apt
2459679,46,97,2,29,0.68,1,340,3,Tempelhof - Schoneberg,Private room
2463778,40,513,60,19,0.34,1,130,1,Mitte,Entire home_apt
2463908,39,353,3,87,2.3,1,0,2,Pankow,Private room
2464533,49,341,4,44,0.86,1,316,5,Charlottenburg-Wilm.,Entire home_apt
2466143,95,450,3,88,1.59,1,10,2,Friedrichshain-Kreuzberg,Entire home_apt
2470520,48,453,3,31,1.06,1,13,8,Mitte,Entire home_apt
2476238,60,162,5,5,0.09,1,0,3,Neukolln,Entire home_apt
2482262,91,387,1,28,0.54,1,310,10,Neukolln,Private room
2483283,20,381,3,192,3.52,1,295,3,Mitte,Private room
2485124,120,187,2,144,2.6,2,337,5,Mitte,Entire home_apt
2485985,59,228,5,24,0.51,2,340,2,Mitte,Entire home_apt
2490608,40,385,4,26,0.48,1,4,9,Friedrichshain-Kreuzberg,Private room
2492162,52,464,3,46,1.21,1,344,10,Mitte,Private room
2496858,20,690,1,114,2.14,4,308,3,Treptow - Kopenick,Private room
2500258,65,285,19,0,0,1,0,5,Friedrichshain-Kreuzberg,Private room
2501415,60,424,2,44,0.8,1,280,9,Pankow,Entire home_apt
2501758,50,611,1,40,1.31,1,358,5,Charlottenburg-Wilm.,Entire home_apt
2504158,50,211,1,0,0,1,0,9,Pankow,Entire home_apt
2504294,45,502,2,26,1.01,2,66,2,Mitte,Private room
2504679,59,85,1,79,1.53,1,23,2,Neukolln,Entire home_apt
2507059,50,195,2,50,0.95,2,364,7,Steglitz - Zehlendorf,Private room
2507159,56,235,1,113,2.53,5,66,3,Friedrichshain-Kreuzberg,Entire home_apt
2508457,42,438,4,2,0.07,2,0,7,Neukolln,Private room
2509310,35,191,3,1,0.03,1,0,2,Mitte,Private room
2510929,44,262,1,10,0.19,2,0,4,Neukolln,Entire home_apt
2511659,28,390,20,29,0.53,2,0,3,Friedrichshain-Kreuzberg,Private room
2513549,48,403,3,46,1.1,1,279,1,Mitte,Private room
2517124,60,271,3,8,0.15,1,0,5,Friedrichshain-Kreuzberg,Entire home_apt
2517625,55,70,1,3,0.05,5,145,7,Friedrichshain-Kreuzberg,Entire home_apt
2518768,39,481,2,130,2.5,1,159,8,Friedrichshain-Kreuzberg,Private room
2520219,60,268,2,6,0.16,1,0,1,Neukolln,Entire home_apt
2521868,43,387,3,10,0.28,1,0,1,Neukolln,Entire home_apt
2524670,19,41,3,4,1.69,1,101,3,Neukolln,Private room
2529429,23,575,30,89,1.58,1,0,1,Mitte,Private room
2533598,120,767,5,3,0.06,1,0,5,Neukolln,Entire home_apt
2539863,37,65,1,5,0.09,1,335,2,Friedrichshain-Kreuzberg,Private room
2541764,32,53,5,4,0.19,1,0,4,Pankow,Private room
2541994,75,580,2,16,0.29,3,350,7,Steglitz - Zehlendorf,Entire home_apt
2543760,42,431,2,174,3.41,1,226,6,Mitte,Private room
2545280,80,410,1,0,0,1,0,4,Friedrichshain-Kreuzberg,Entire home_apt
2546219,38,685,2,11,0.2,1,0,3,Neukolln,Entire home_apt
2548013,29,697,5,10,0.18,1,279,1,Tempelhof - Schoneberg,Private room
2548961,65,504,2,143,2.56,3,294,1,Pankow,Entire home_apt
2549136,59,173,6,20,0.36,1,148,6,Mitte,Entire home_apt
2549257,65,670,4,46,0.87,1,4,8,Neukolln,Entire home_apt
2549564,104,504,2,192,3.41,1,250,5,Charlottenburg-Wilm.,Entire home_apt
2550111,66,202,2,26,0.47,2,339,3,Friedrichshain-Kreuzberg,Entire home_apt
2552674,33,168,4,13,0.23,1,0,4,Neukolln,Entire home_apt
2553215,35,236,2,49,0.96,1,174,4,Tempelhof - Schoneberg,Private room
2557273,40,712,8,18,0.4,2,0,1,Pankow,Private room
2560244,43,337,70,15,0.31,1,104,9,Pankow,Entire home_apt
2563181,100,285,1,4,0.2,1,280,10,Charlottenburg-Wilm.,Entire home_apt
2565451,85,501,61,10,0.2,1,364,3,Mitte,Entire home_apt
2566846,49,425,2,214,3.82,2,103,5,Tempelhof - Schoneberg,Entire home_apt
2566963,22,397,5,20,0.36,1,6,2,Neukolln,Private room
2567096,50,650,6,5,0.37,1,0,6,Neukolln,Entire home_apt
2569307,40,111,2,165,3.06,1,293,2,Treptow - Kopenick,Private room
2572798,47,193,2,2,0.04,1,103,1,Charlottenburg-Wilm.,Entire home_apt
2573342,100,317,3,4,0.13,1,0,6,Friedrichshain-Kreuzberg,Entire home_apt
2574193,80,148,7,3,0.06,1,67,7,Friedrichshain-Kreuzberg,Entire home_apt
2574411,35,83,4,3,0.05,1,0,3,Mitte,Private room
2575251,100,735,5,11,0.2,1,274,1,Pankow,Entire home_apt
2577923,59,751,2,11,0.2,1,0,4,Friedrichshain-Kreuzberg,Entire home_apt
2581140,20,585,300,8,0.17,3,0,4,Neukolln,Private room
2581321,28,187,180,6,0.12,3,36,2,Tempelhof - Schoneberg,Entire home_apt
2583272,48,698,2,52,0.94,1,0,2,Neukolln,Entire home_apt
2588285,49,592,5,1,0.28,1,0,8,Tempelhof - Schoneberg,Entire home_apt
2588639,45,477,7,8,0.9,1,0,2,Neukolln,Entire home_apt
2590511,28,255,2,114,2.06,1,4,1,Mitte,Private room
2590619,55,187,3,99,1.81,1,7,10,Mitte,Entire home_apt
2591901,33,174,3,264,5,1,206,2,Lichtenberg,Private room
2598629,30,531,2,19,1.45,2,31,1,Friedrichshain-Kreuzberg,Private room
2598705,79,620,5,56,1.57,1,65,7,Pankow,Entire home_apt
2599340,85,420,3,12,0.22,5,337,2,Mitte,Entire home_apt
2599539,85,724,3,1,0.02,5,347,6,Mitte,Entire home_apt
2599765,159,559,2,224,4,5,264,4,Mitte,Entire home_apt
2602460,65,381,2,39,0.98,1,312,1,Reinickendorf,Entire home_apt
2610528,115,421,2,207,3.75,1,296,4,Pankow,Entire home_apt
2610694,42,601,2,4,0.89,3,41,3,Pankow,Private room
2616603,73,128,4,26,0.56,1,47,1,Friedrichshain-Kreuzberg,Entire home_apt
2621854,40,663,5,33,2.2,1,307,8,Pankow,Entire home_apt
2623250,50,535,60,6,0.12,3,113,1,Charlottenburg-Wilm.,Entire home_apt
2623318,47,479,3,7,0.2,2,98,7,Mitte,Private room
2623883,53,361,30,17,0.31,3,97,8,Charlottenburg-Wilm.,Entire home_apt
2626130,40,589,6,8,0.15,1,0,5,Neukolln,Entire home_apt
2631328,70,507,3,34,0.61,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
2633115,55,398,5,83,1.56,1,2,9,Friedrichshain-Kreuzberg,Entire home_apt
2634457,49,306,1,20,0.36,1,94,4,Friedrichshain-Kreuzberg,Private room
2635433,120,798,2,10,0.2,1,0,1,Pankow,Entire home_apt
2639330,90,178,5,5,0.1,1,159,6,Neukolln,Entire home_apt
2639933,37,391,1,141,2.81,3,333,4,Charlottenburg-Wilm.,Private room
2640673,38,300,3,1,0.03,1,0,7,Mitte,Private room
2641234,39,87,2,43,0.78,1,362,5,Charlottenburg-Wilm.,Private room
2643579,30,664,7,5,0.09,1,36,5,Lichtenberg,Private room
2644458,129,191,4,6,0.46,1,0,5,Pankow,Entire home_apt
2644834,26,455,30,6,0.4,1,44,1,Lichtenberg,Private room
2646856,30,385,14,12,0.22,1,8,5,Friedrichshain-Kreuzberg,Private room
2647478,90,764,2,119,2.17,1,202,1,Charlottenburg-Wilm.,Entire home_apt
2648992,59,750,1,9,0.31,4,314,5,Marzahn - Hellersdorf,Private room
2649669,74,523,3,141,2.57,2,120,1,Friedrichshain-Kreuzberg,Entire home_apt
2649916,99,427,20,11,0.2,1,304,6,Neukolln,Entire home_apt
2650663,99,790,2,130,2.57,1,104,10,Mitte,Entire home_apt
2654121,105,509,2,9,0.22,1,7,3,Neukolln,Entire home_apt
2654187,70,459,5,29,0.52,1,305,4,Neukolln,Entire home_apt
2654951,95,576,60,5,0.09,2,129,2,Friedrichshain-Kreuzberg,Entire home_apt
2657671,34,654,3,183,3.33,1,338,9,Friedrichshain-Kreuzberg,Private room
2658134,50,106,3,17,0.31,1,0,9,Friedrichshain-Kreuzberg,Entire home_apt
2658547,34,206,1,2,0.06,1,89,4,Neukolln,Private room
2658901,35,77,2,0,0,1,0,3,Pankow,Entire home_apt
2662541,79,720,2,158,2.88,1,223,5,Mitte,Entire home_apt
2663290,220,820,3,134,2.44,3,238,1,Mitte,Entire home_apt
2667682,50,160,1,7,0.23,1,0,1,Friedrichshain-Kreuzberg,Private room
2670697,52,646,3,16,0.3,1,311,7,Pankow,Entire home_apt
2673334,80,508,1,0,0,1,34,6,Pankow,Entire home_apt
2673484,42,560,3,112,2.05,1,360,6,Charlottenburg-Wilm.,Private room
2674929,46,109,1,136,2.44,1,305,3,Tempelhof - Schoneberg,Entire home_apt
2675144,66,733,4,22,0.4,2,0,6,Friedrichshain-Kreuzberg,Entire home_apt
2678724,121,726,3,101,1.85,1,8,11,Charlottenburg-Wilm.,Entire home_apt
2681335,55,534,5,55,1,1,310,8,Charlottenburg-Wilm.,Entire home_apt
2681688,35,714,2,18,0.36,2,91,4,Mitte,Private room
2682379,20,150,1,127,2.38,4,195,9,Treptow - Kopenick,Private room
2683888,45,215,4,6,0.34,1,350,9,Tempelhof - Schoneberg,Private room
2686595,33,642,1,102,1.86,1,355,1,Mitte,Private room
2689713,95,466,3,61,1.1,1,12,1,Mitte,Private room
2690161,58,276,3,128,2.4,1,281,3,Pankow,Entire home_apt
2697520,140,158,6,11,0.21,1,100,7,Mitte,Entire home_apt
2697809,49,65,1,135,2.48,2,314,2,Pankow,Private room
2698350,57,267,1,27,0.87,4,314,3,Marzahn - Hellersdorf,Private room
2698557,55,517,6,1,0.1,1,251,1,Friedrichshain-Kreuzberg,Entire home_apt
2706629,26,619,16,8,0.21,1,0,1,Friedrichshain-Kreuzberg,Private room
2707878,55,623,4,17,0.31,1,0,2,Friedrichshain-Kreuzberg,Entire home_apt
2708705,25,88,3,4,0.08,1,309,1,Friedrichshain-Kreuzberg,Private room
2708821,34,480,2,10,0.24,2,9,4,Friedrichshain-Kreuzberg,Private room
2712245,52,209,14,23,0.41,1,325,2,Neukolln,Entire home_apt
2718380,250,572,3,115,2.07,1,351,2,Mitte,Entire home_apt
2722848,120,280,7,8,0.15,1,0,7,Pankow,Entire home_apt
2726568,50,294,1,4,2.26,1,334,1,Charlottenburg-Wilm.,Private room
2727630,35,306,2,11,0.91,1,129,9,Friedrichshain-Kreuzberg,Private room
2727771,52,97,6,4,0.25,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
2728584,19,427,5,3,0.06,1,0,1,Mitte,Private room
2733328,72,379,3,15,0.45,1,0,7,Neukolln,Entire home_apt
2735808,30,278,21,1,0.02,1,0,6,Pankow,Entire home_apt
2737070,120,608,5,6,0.12,1,0,7,Friedrichshain-Kreuzberg,Entire home_apt
2737259,150,703,3,51,1.04,2,70,1,Mitte,Private room
2741691,55,584,3,26,0.52,1,365,3,Treptow - Kopenick,Entire home_apt
2742389,115,449,60,27,0.49,1,221,9,Mitte,Entire home_apt
2749597,90,116,1,1,0.03,1,0,10,Neukolln,Entire home_apt
2751942,60,493,3,51,1.57,1,60,2,Pankow,Entire home_apt
2753552,70,250,1,25,0.46,1,346,2,Neukolln,Private room
2758735,60,89,4,3,2.5,1,73,9,Friedrichshain-Kreuzberg,Entire home_apt
2760114,50,400,4,30,0.71,1,354,9,Steglitz - Zehlendorf,Entire home_apt
2760290,89,141,1,105,1.94,3,278,2,Tempelhof - Schoneberg,Entire home_apt
2761128,95,786,5,11,0.2,1,0,10,Tempelhof - Schoneberg,Entire home_apt
2765713,38,60,2,14,0.25,1,291,6,Friedrichshain-Kreuzberg,Private room
2766818,69,652,2,3,0.19,1,338,1,Charlottenburg-Wilm.,Private room
2771100,24,343,9,65,1.29,1,142,9,Neukolln,Private room
2777001,35,702,300,0,0,1,0,1,Neukolln,Entire home_apt
2784176,29,85,5,41,0.76,1,257,3,Marzahn - Hellersdorf,Entire home_apt
2789944,90,129,3,2,0.05,1,0,4,Charlottenburg-Wilm.,Entire home_apt
2791185,60,366,3,2,0.04,1,130,9,Lichtenberg,Private room
2798584,95,109,3,3,0.08,1,0,8,Treptow - Kopenick,Entire home_apt
2801820,55,712,7,4,0.09,1,0,1,Friedrichshain-Kreuzberg,Entire home_apt
2806032,45,223,5,0,0,1,363,2,Steglitz - Zehlendorf,Private room
2808508,25,233,4,9,0.16,1,19,8,Neukolln,Private room
2810807,39,581,29,7,0.13,1,189,5,Charlottenburg-Wilm.,Entire home_apt
2812553,61,438,1,97,1.77,1,0,7,Mitte,Private room
2814548,59,336,5,12,0.22,1,12,3,Friedrichshain-Kreuzberg,Entire home_apt
2820362,63,451,61,56,1.02,1,236,5,Lichtenberg,Entire home_apt
2821257,150,385,3,51,1.01,5,312,3,Mitte,Entire home_apt
2823422,125,275,20,4,0.1,1,4,11,Neukolln,Entire home_apt
2826205,50,97,7,3,0.06,1,0,9,Mitte,Entire home_apt
2827387,50,366,12,0,0,1,98,10,Friedrichshain-Kreuzberg,Entire home_apt
